==============================================================================
  ENGINE PROFILE (iteration-03 parity)  —  flavor='short_b8'
==============================================================================
  backend       : triton (fused kernels) + cuda-graph decode
  batch size    : 8
  prompt tokens : 12 (per row, left-padded)
  new tokens    : 32
  prefill       : 36.31 ms
  decode/step   : 10.018 ms  (798.6 tok/s over the batch)
  peak VRAM     : 6.82 GB
  sampling      : temperature=0.7  top_k=50  top_p=0.9
------------------------------------------------------------------------------
  Op table sorted by cuda_time_total (top 100)
------------------------------------------------------------------------------
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                              aten::sum         0.10%     331.051us         0.16%     505.834us      15.807us     362.016us         0.12%     362.016us      11.313us           0 b           0 b      16.00 Kb      16.00 Kb            32            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     362.016us         0.12%     362.016us      11.313us           0 b           0 b           0 b           0 b            32            --  
void at::native::mbtopk::radixFindKthValues<c10::BFl...         0.00%       0.000us         0.00%       0.000us       0.000us     360.355us         0.12%     360.355us       5.631us           0 b           0 b           0 b           0 b            64            --  
                                         cuLaunchKernel         0.58%       1.883ms         0.58%       1.883ms       7.413us     343.011us         0.12%     343.011us       1.350us           0 b           0 b           0 b           0 b           254            --  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us     328.545us         0.11%     328.545us      10.267us           0 b           0 b           0 b           0 b            32            --  
                                               aten::to         0.07%     211.469us         0.95%       3.062ms      16.825us       0.000us         0.00%     268.102us       1.473us           0 b           0 b     128.19 Mb           0 b           182            --  
                                         aten::_to_copy         0.18%     576.664us         0.88%       2.851ms      19.004us       0.000us         0.00%     268.102us       1.787us           0 b           0 b     128.19 Mb           0 b           150            --  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     255.330us         0.09%     255.330us       8.236us           0 b           0 b           0 b           0 b            31            --  
                                            aten::fill_         0.32%       1.020ms         0.75%       2.408ms       9.595us     250.918us         0.09%     250.918us       1.000us           0 b           0 b           0 b           0 b           251            --  
                                              aten::div         0.16%     512.398us         0.39%       1.253ms      19.581us     231.744us         0.08%     231.744us       3.621us           0 b           0 b      64.00 Mb      64.00 Mb            64            --  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     214.688us         0.07%     214.688us       1.367us           0 b           0 b           0 b           0 b           157            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     210.241us         0.07%     210.241us       3.285us           0 b           0 b           0 b           0 b            64            --  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     208.932us         0.07%     208.932us       0.933us           0 b           0 b           0 b           0 b           224            --  
void at::native::mbtopk::gatherTopK<c10::BFloat16, u...         0.00%       0.000us         0.00%       0.000us       0.000us     193.249us         0.07%     193.249us       6.039us           0 b           0 b           0 b           0 b            32            --  
void at::native::(anonymous namespace)::sort_postpro...         0.00%       0.000us         0.00%       0.000us       0.000us     184.222us         0.06%     184.222us       5.757us           0 b           0 b           0 b           0 b            32            --  
                                              aten::min         0.13%     409.086us         0.27%     862.330us      26.948us     169.949us         0.06%     169.949us       5.311us           0 b           0 b      16.00 Kb           0 b            32            --  
                                            aten::clone         0.10%     324.655us         0.48%       1.566ms      24.474us       0.000us         0.00%     167.648us       2.619us           0 b           0 b      95.31 Mb           0 b            64            --  
                                              aten::max         0.12%     386.211us         0.24%     767.837us      23.995us     166.819us         0.06%     166.819us       5.213us           0 b           0 b      16.00 Kb           0 b            32            --  
at::native::(anonymous namespace)::fill_index_and_se...         0.00%       0.000us         0.00%       0.000us       0.000us     157.826us         0.05%     157.826us       4.932us           0 b           0 b           0 b           0 b            32            --  
                                         aten::scatter_         0.11%     360.382us         0.17%     564.783us      17.649us     153.857us         0.05%     153.857us       4.808us           0 b           0 b           0 b           0 b            32            --  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     153.857us         0.05%     153.857us       4.808us           0 b           0 b           0 b           0 b            32            --  
                                               aten::lt         0.18%     566.663us         0.28%     903.438us      14.116us     148.323us         0.05%     148.323us       2.318us           0 b           0 b      31.33 Mb      31.33 Mb            64            --  
void at_cuda_detail::cub::DeviceScanByKeyKernel<at_c...         0.00%       0.000us         0.00%       0.000us       0.000us     147.037us         0.05%     147.037us       2.297us           0 b           0 b           0 b           0 b            64            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     142.494us         0.05%     142.494us       4.453us           0 b           0 b           0 b           0 b            32            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     139.840us         0.05%     139.840us       4.370us           0 b           0 b           0 b           0 b            32            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     138.116us         0.05%     138.116us       1.170us           0 b           0 b           0 b           0 b           118            --  
                                       _flash_eager_fwd         0.00%       0.000us         0.00%       0.000us       0.000us     131.490us         0.05%     131.490us       4.696us           0 b           0 b           0 b           0 b            28            --  
                                     aten::exponential_         0.06%     208.481us         0.12%     403.936us      12.623us     131.265us         0.05%     131.265us       4.102us           0 b           0 b           0 b           0 b            32            --  
void at::native::(anonymous namespace)::distribution...         0.00%       0.000us         0.00%       0.000us       0.000us     131.265us         0.05%     131.265us       4.102us           0 b           0 b           0 b           0 b            32            --  
                                      aten::masked_fill         0.04%     133.781us         0.40%       1.297ms      40.519us       0.000us         0.00%     131.036us       4.095us           0 b           0 b      64.00 Mb           0 b            32            --  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     129.986us         0.04%     129.986us       4.062us           0 b           0 b           0 b           0 b            32            --  
                                    aten::_assert_async         0.05%     155.934us         0.13%     418.458us       6.538us     123.294us         0.04%     123.294us       1.926us           0 b           0 b           0 b           0 b            64            --  
void at::native::_assert_async_cuda_kernel<bool>(boo...         0.00%       0.000us         0.00%       0.000us       0.000us     123.294us         0.04%     123.294us       1.926us           0 b           0 b           0 b           0 b            64            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     120.614us         0.04%     120.614us       2.154us           0 b           0 b           0 b           0 b            56            --  
void at::native::mbtopk::computeBlockwiseWithinKCoun...         0.00%       0.000us         0.00%       0.000us       0.000us     118.660us         0.04%     118.660us       1.854us           0 b           0 b           0 b           0 b            64            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     116.035us         0.04%     116.035us       3.626us           0 b           0 b           0 b           0 b            32            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     114.400us         0.04%     114.400us       3.575us           0 b           0 b           0 b           0 b            32            --  
void at::native::radixSortKVInPlace<2, -1, 32, 4, c1...         0.00%       0.000us         0.00%       0.000us       0.000us     113.729us         0.04%     113.729us       3.554us           0 b           0 b           0 b           0 b            32            --  
void at_cuda_detail::cub::DeviceRadixSortHistogramKe...         0.00%       0.000us         0.00%       0.000us       0.000us     113.665us         0.04%     113.665us       3.552us           0 b           0 b           0 b           0 b            32            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     112.416us         0.04%     112.416us       3.626us           0 b           0 b           0 b           0 b            31            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     101.378us         0.03%     101.378us       1.078us           0 b           0 b           0 b           0 b            94            --  
                                              aten::add         0.18%     593.491us         0.29%     935.701us      16.709us      96.447us         0.03%      96.447us       1.722us           0 b           0 b      31.50 Mb      31.50 Mb            56        16.515  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      79.201us         0.03%      79.201us       0.852us           0 b           0 b           0 b           0 b            93            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      71.650us         0.02%      71.650us       1.120us           0 b           0 b           0 b           0 b            64            --  
                                            aten::where         0.09%     296.111us         0.20%     642.527us      20.079us      71.425us         0.02%      71.425us       2.232us           0 b           0 b      64.00 Mb           0 b            32            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      71.425us         0.02%      71.425us       2.232us           0 b           0 b           0 b           0 b            32            --  
                                              aten::any         0.15%     478.771us         0.20%     646.116us      20.191us      70.015us         0.02%      70.015us       2.188us           0 b           0 b      16.00 Kb      16.00 Kb            32            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      70.015us         0.02%      70.015us       2.188us           0 b           0 b           0 b           0 b            32            --  
                                     aten::masked_fill_         0.05%     153.662us         0.10%     335.574us      10.487us      68.254us         0.02%      68.254us       2.133us           0 b           0 b           0 b           0 b            32            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      68.254us         0.02%      68.254us       2.133us           0 b           0 b           0 b           0 b            32            --  
void at::native::mbtopk::computeBlockwiseKthCounts<u...         0.00%       0.000us         0.00%       0.000us       0.000us      59.265us         0.02%      59.265us       1.852us           0 b           0 b           0 b           0 b            32            --  
                                               aten::gt         0.12%     393.572us         0.17%     551.575us      17.237us      55.074us         0.02%      55.074us       1.721us           0 b           0 b      31.31 Mb      31.31 Mb            32            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      55.074us         0.02%      55.074us       1.721us           0 b           0 b           0 b           0 b            32            --  
void at_cuda_detail::cub::DeviceScanByKeyInitKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      54.275us         0.02%      54.275us       0.848us           0 b           0 b           0 b           0 b            64            --  
                                        aten::full_like         0.03%      87.729us         0.18%     597.877us      18.684us       0.000us         0.00%      46.051us       1.439us           0 b           0 b      64.00 Mb           0 b            32            --  
                                               aten::ge         0.10%     315.844us         0.14%     465.776us      14.556us      39.362us         0.01%      39.362us       1.230us           0 b           0 b      16.00 Kb      16.00 Kb            32            --  
