==============================================================================
  ENGINE PROFILE (iteration-03 parity)  —  flavor='short_b32'
==============================================================================
  backend       : triton (fused kernels) + cuda-graph decode
  batch size    : 32
  prompt tokens : 12 (per row, left-padded)
  new tokens    : 32
  prefill       : 33.73 ms
  decode/step   : 10.843 ms  (2951.1 tok/s over the batch)
  peak VRAM     : 7.04 GB
  sampling      : temperature=0.7  top_k=50  top_p=0.9
------------------------------------------------------------------------------
  Op table sorted by cuda_time_total (top 100)
------------------------------------------------------------------------------
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     129.297ms        40.07%     129.297ms      48.048us           0 b           0 b           0 b           0 b          2691            --  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     111.407ms        34.53%     111.407ms     128.349us           0 b           0 b           0 b           0 b           868            --  
                                           aten::linear         0.11%     365.979us         2.37%       8.223ms      48.656us       0.000us         0.00%      16.051ms      94.975us           0 b           0 b     661.00 Mb           0 b           169            --  
                                           aten::matmul         0.35%       1.217ms         2.03%       7.074ms      41.857us       0.000us         0.00%      16.051ms      94.975us           0 b           0 b     661.00 Mb           0 b           169            --  
                                               aten::mm         0.98%       3.393ms         1.55%       5.377ms      31.817us      16.051ms         4.97%      16.051ms      94.975us           0 b           0 b     661.00 Mb     661.00 Mb           169   2467257.385  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      15.561ms         4.82%      15.561ms       8.964us           0 b           0 b           0 b           0 b          1736            --  
                                             aten::sort         0.39%       1.343ms         1.11%       3.869ms     120.895us      11.845ms         3.67%      11.983ms     374.453us           0 b           0 b       1.25 Gb       1.25 Gb            32            --  
ampere_bf16_s1688gemm_bf16_64x128_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       8.232ms         2.55%       8.232ms     283.857us           0 b           0 b           0 b           0 b            29            --  
                                   _flash_cudagraph_fwd         0.00%       0.000us         0.00%       0.000us       0.000us       7.286ms         2.26%       7.286ms       8.394us           0 b           0 b           0 b           0 b           868            --  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us       5.978ms         1.85%       5.978ms       1.360us           0 b           0 b           0 b           0 b          4396            --  
void at_cuda_detail::cub::DeviceRadixSortDownsweepKe...         0.00%       0.000us         0.00%       0.000us       0.000us       5.594ms         1.73%       5.594ms      58.274us           0 b           0 b           0 b           0 b            96            --  
                                           aten::cumsum         0.06%     223.908us         0.11%     371.398us      11.606us       4.600ms         1.43%       4.600ms     143.756us           0 b           0 b     250.50 Mb     250.50 Mb            32            --  
void at::native::tensor_kernel_scan_innermost_dim<c1...         0.00%       0.000us         0.00%       0.000us       0.000us       4.600ms         1.43%       4.600ms     143.756us           0 b           0 b           0 b           0 b            32            --  
                                           _rmsnorm_fwd         0.00%       0.000us         0.00%       0.000us       0.000us       3.723ms         1.15%       3.723ms       2.041us           0 b           0 b           0 b           0 b          1824            --  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       3.275ms         1.01%       3.275ms       1.886us           0 b           0 b           0 b           0 b          1736            --  
ampere_bf16_s1688gemm_bf16_128x64_sliced1x2_ldg8_f2f...         0.00%       0.000us         0.00%       0.000us       0.000us       3.217ms         1.00%       3.217ms     114.883us           0 b           0 b           0 b           0 b            28            --  
                                          aten::softmax         0.03%     105.291us         0.24%     824.050us      12.876us       0.000us         0.00%       2.654ms      41.469us           0 b           0 b     751.50 Mb           0 b            64            --  
                                         aten::_softmax         0.12%     428.294us         0.21%     718.759us      11.231us       2.654ms         0.82%       2.654ms      41.469us           0 b           0 b     751.50 Mb     751.50 Mb            64            --  
                                              _rope_fwd         0.00%       0.000us         0.00%       0.000us       0.000us       2.593ms         0.80%       2.593ms       1.447us           0 b           0 b           0 b           0 b          1792            --  
                                      aten::multinomial         0.34%       1.171ms         2.04%       7.087ms     221.472us       0.000us         0.00%       2.509ms      78.413us           0 b           0 b      16.00 Kb    -501.14 Mb            32            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.234ms         0.69%       2.234ms       1.247us           0 b           0 b           0 b           0 b          1792            --  
void at::native::(anonymous namespace)::sort_postpro...         0.00%       0.000us         0.00%       0.000us       0.000us       2.182ms         0.68%       2.182ms      68.201us           0 b           0 b           0 b           0 b            32            --  
                                            _swiglu_fwd         0.00%       0.000us         0.00%       0.000us       0.000us       1.731ms         0.54%       1.731ms       1.932us           0 b           0 b           0 b           0 b           896            --  
                                             aten::topk         0.65%       2.258ms         1.16%       4.022ms     125.685us       1.678ms         0.52%       1.678ms      52.449us           0 b           0 b     512.00 Kb     505.00 Kb            32            --  
                                            aten::copy_         0.58%       2.026ms         1.41%       4.907ms      11.493us       1.459ms         0.45%       1.459ms       3.417us           0 b           0 b           0 b           0 b           427            --  
void at_cuda_detail::cub::RadixSortScanBinsKernel<at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.396ms         0.43%       1.396ms      14.541us           0 b           0 b           0 b           0 b            96            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us       1.371ms         0.42%       1.371ms      42.847us           0 b           0 b           0 b           0 b            32            --  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us       1.283ms         0.40%       1.283ms      40.091us           0 b           0 b           0 b           0 b            32            --  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us       1.107ms         0.34%       1.107ms      19.774us           0 b           0 b           0 b           0 b            56            --  
void at_cuda_detail::cub::DeviceRadixSortOnesweepKer...         0.00%       0.000us         0.00%       0.000us       0.000us     954.022us         0.30%     954.022us      29.813us           0 b           0 b           0 b           0 b            32            --  
void at_cuda_detail::cub::DeviceRadixSortUpsweepKern...         0.00%       0.000us         0.00%       0.000us       0.000us     807.747us         0.25%     807.747us       8.414us           0 b           0 b           0 b           0 b            96            --  
                                           aten::argmax         0.05%     177.754us         0.09%     308.454us       9.639us     718.627us         0.22%     718.627us      22.457us           0 b           0 b           0 b           0 b            32            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     718.627us         0.22%     718.627us      22.457us           0 b           0 b           0 b           0 b            32            --  
                                              aten::div         0.14%     502.750us         0.26%     890.116us      13.908us     594.406us         0.18%     594.406us       9.288us           0 b           0 b     256.00 Mb     256.00 Mb            64            --  
void at::native::mbtopk::radixFindKthValues<c10::BFl...         0.00%       0.000us         0.00%       0.000us       0.000us     562.595us         0.17%     562.595us       8.791us           0 b           0 b           0 b           0 b            64            --  
void at::native::mbtopk::gatherTopK<c10::BFloat16, u...         0.00%       0.000us         0.00%       0.000us       0.000us     520.225us         0.16%     520.225us      16.257us           0 b           0 b           0 b           0 b            32            --  
at::native::(anonymous namespace)::fill_index_and_se...         0.00%       0.000us         0.00%       0.000us       0.000us     514.879us         0.16%     514.879us      16.090us           0 b           0 b           0 b           0 b            32            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     474.205us         0.15%     474.205us       7.409us           0 b           0 b           0 b           0 b            64            --  
                                               aten::to         0.05%     187.079us         0.83%       2.878ms      15.812us       0.000us         0.00%     431.295us       2.370us           0 b           0 b     501.19 Mb           0 b           182            --  
                                         aten::_to_copy         0.15%     528.957us         0.77%       2.691ms      17.938us       0.000us         0.00%     431.295us       2.875us           0 b           0 b     501.19 Mb           0 b           150            --  
                                            aten::clone         0.05%     163.031us         0.38%       1.335ms      20.859us       0.000us         0.00%     427.744us       6.684us           0 b           0 b     380.00 Mb           0 b            64            --  
                                         aten::scatter_         0.10%     350.754us         0.16%     542.049us      16.939us     427.267us         0.13%     427.267us      13.352us           0 b           0 b           0 b           0 b            32            --  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     427.267us         0.13%     427.267us      13.352us           0 b           0 b           0 b           0 b            32            --  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     408.321us         0.13%     408.321us       2.601us           0 b           0 b           0 b           0 b           157            --  
                                              aten::sum         0.09%     300.191us         0.13%     460.415us      14.388us     360.066us         0.11%     360.066us      11.252us           0 b           0 b      16.00 Kb      16.00 Kb            32            --  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     360.066us         0.11%     360.066us      11.252us           0 b           0 b           0 b           0 b            32            --  
